deal_count,link,price,shop,title
8人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%224568844bafad46567cf1e234df42914b%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=818417174&k=1537&e=CeSjxr7KbO5Ydh0g%2BA0S0AfUkFWQzTTlxmN%2B6qE7D%2FJsOVpA5tQoCIAB29N8kDXyqNSYwDWOsk%2FP2RCBY9fVvsqAABrfJkoztkiMXIKnGyiKqEFG5FE0sZcOee9cyfzR3tK22aDxekkkO0mgyCMWu2FB%2FF8VV9tV7SEWTJ44LvtMPDL9N6FX9bv3jkaOLHCaCfpHrTPw8m2%2B7m3m9sgEQSyhTq0M6QwjHjSLALPudx0fmnZf6VjYscGucom89QUNeOwUywx7jTg53VgbJfjFIgA%2FO2c9KKoxLglbzUYnpUxGnTD8cmiAX%2FFwJqbV%2BRgT15admQaUtiAktsAPTtP%2B9RnWsFm6%2F8M1MMaszW3F7K8JsMWmcEi67j%2BUvIuDCaXiMHOLD8BBQ5eFaYPHxLi8%2FozlKU0fEe70blvP%2BJ7FNq1tAnNiLeabqMhacM1ihZ1%2FrRTAdHVzGaspBtVLoFwVbXVM39hdUYVuiwXBtMD834FS5jARQd9DRBtIVeqHgAGAFRu1m9aroIVK4hWVbrAOg29MGLo3mbwOxqf13PLBib%2FCrB25TMsa9IsuYfzM80YsQSY95YlE739pzv%2FXhDjOa4Q3D96r88s6CCzKNhWO2fnOY8sJriK%2B1JmCSLAeNjjehTquugVjG6Li%2FyRsvKWDRS9unUk2NDJNR2IHbWLbS6RvTBi6N5m8Dh%2Bh5iVmO9H%2FL9rCYrn8KQeOjNFOiamlq2ZV80DO0Duef17E4elBIdUM1LYbkKp7k6Od5hWrfGb20d6eaAuKVu6b%2BFt%2B588VW4nlrxBwCmImv%2BK2xuMwGqndHBX1UD9aKxDWU1QxHIoemJPHNvxaCkhdWMvEhVw1qsKHiesYloGZ9cRdBsdjd%2B%2FIW6vd5t8VdpimHg803l58NUV82iLkdhlfLDpbjIVbDWDWTUDQzR2xWUYGuAsJqmCp4HQeIBMuUkxRYxriAfs7MTavFKscpwRLxOY07thFd8Io97ewosBylM5ArPGPdGEJ5WA9nz08PvYAYu0YlLmubQJzYi3mm6jIWnDNYoWdf60UwHR1cxmrKQbVS6BcFW11TN%2FYXVGFbn0IDUDkcV5My4mtJik8sntrn2snK80K7UmhR2RjaoaPdxgEGb0lGXhoNAg%2BInR452GS%2BW6JysrOpgqoSyxBZeq44Ao8XY2JdJGfBS4dXbeKvG9cdA5tsaymWMekRVRKxTejkwSQTnBuLjOAyYTAkxxgg9U%2F4ggvYy3v7mKmpRpzP%2FL2WneuPJ9EFsQ%2BTKFwxUNHXDeqmySPWdQ2jvZl8WzwlXemaUT9avG1ZRjQBmK%2B4RCrjKi79Uar0kflceGClh1Idq7wZVBB1v3U7SEA2uODDDg1gDRn8PhQckMtP2y%2FK50MbqXYgihHdQLXWzKyGlQTZ70MM51eo3Ct3k1nol5WTofBhhXq0BnWsFm6%2F8M1qG87JMWmRfIFNqE%2Fk9ocZg7qoHBNeYDLjOUpTR8R7vSp3qye9uHJEQWb%2FJbjdPJbbJXQwFFWvXmX4SIabUaUuNmE16lBFl%2Fs#detail,,漫派动漫手办摆件,初音手办雪公主长发玩偶女生摆件模型盲盒雕像公仔福袋二次元礼物
400+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22b3854c626e4f949544143886dd4731eb%22%7D&id=781483359944&ns=1&abbucket=3#detail,,潮玩手办城,正版现货 TAITO 
4000+人累计付款,//detail.tmall.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22c22b75002c333406fa9ac08ac852cce4%22%7D&id=696060654244&ns=1&abbucket=3,,百译好玩具专营店,TAITO FURYU 
100+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22f7bfc43dc2b3d615a1f1bbe3f285f26a%22%7D&id=784399553212&ns=1&abbucket=3#detail,,盲盒大爆款,正版现货 世嘉SEGA 
100+人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22becb179d6c121fbd7b41798b196acfa2%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=818417174&k=1517&e=Jy5C8iiipu9Ydh0g%2BA0S0AfUkFWQzTTlxmN%2B6qE7D%2FJsOVpA5tQoCIAB29N8kDXyqNSYwDWOsk9ryCkd8OJFzkiRJTd0OtsjmLE8LJLoI42KqEFG5FE0sZcOee9cyfzR3tK22aDxekkkO0mgyCMWu2FB%2FF8VV9tV7SEWTJ44LvtMPDL9N6FX9bv3jkaOLHCaCfpHrTPw8m2%2B7m3m9sgEQSyhTq0M6QwjHjSLALPudx0fmnZf6VjYscGucom89QUNCFMCOjJNFL4A2YO1C4iOjlAap9ajg57s2IQpV6jF%2BmmwAk0H8AfpEiJwu9aGasko9BNvyx4kdMiot92sOZlWbIc8i1lCcbB6u4whkkTxaB7yQjqpIqpXAlGv%2B%2BENg9Nexy8rMejPoOqTWhYXBfRWvbLUaFE0Ky0SW03j3SBPxH8yZw5i6ombv2BplzN00YYEopK%2BSeK4cW702GDxbJnIc3yWSKO2mNqbcnXKkPhAfWGwEcsuP1pdXh9vmNXwsrvZ21%2BPsc1HDvuDHndnqQBWsuiH9mpaPsAJebvmRcdXRR8cBLssiugljJ2JRzN663NUDgewhXwo2gCLdEkHzESekSTabFZfpxfvpRkSh7PBSNiXrDr9H1cNGh1LgJWH3mvVEDluhDPQm3yXQ3WiKCZQxd0MR6TXbom%2B8Ik1t3UQVT0poIYqV2AldN%2FcckycStWsahfi%2FtNQdLWaEAnX7Gi6a7KwQJvQa3HiNfXelWDU5eWd5w9dBV1nwduBznZW5yPfSuzzv334ULs%2FPgiDT%2BRNI3P8SLVUTPYgq7Jr5b65%2BwxHv2wSDf8YGszYJQd725dxcqjvT4L7ljml1pWsX7t2qxJmmnvLhBKuq8e1tLyngNrnSvEA7Ta6oa6jXgWPnMebdmjd2Owh5joESfDjWNwUP%2F9Z3qsnzJEJuu1fYNnXrdnqR%2FiSWIvGcgUtlcfBOcfZ66BxLNHwC9xHhnQMi%2FU6kgl%2FymZRT9uCU8cFgIB31j7Dl7IKgLB103dvDuCwtsn2nDfIEBgNyFhw%2B5D1LPYiuSyMyK094WU3AdLP0Cqu%2BeNI%2BiLE4jxv%2FH18YMkUqo3op6o1Y%2FZDsmWyiZ2K%2F6qmMn9sxea%2BF3q0kNBFA5zwphb10r%2BMuUphWebx8dHEqUcGKQU02kzl%2FGvMHqfkQPVMOaTJ76BnQCltQvMQ%2BXz7W8p38yB%2FthHbrtQ1iropd5y0GHoNfWreZeVf5UUQp8kJg4XkkRexROZL%2BvIshexVYWs%2BEvkNDFcXOAPvng%2FCQeebgcGxKr5gLf8wK9g%2B8hEay4EIw7GjCQ9w1UdsxIFZlaU2D%2BOh0k61tPi5HfppB2F7ZB42zdRF0xIIyxQhkMJXVPq9Q56DHCF%2FuB6LABv3PpTdB3dde1hVTGoX4v7TUHS1PcZEE5upIENF02wbxnVGFFBn1VsZndKtkNBFA5zwphYYCN%2BvT3fC13RJj0n6md4NcVPLTyepeXPAz%2FmAnTCrhYNQ%2BXei%2BPyBtvfkuHCkXo0%3D#detail,,龙龙动漫汇,初音手办雪公主长发玩偶女生摆件模型盲盒雕像公仔福袋二次元礼物
3000+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22e0fb7876abc720ce3a436e12f9936c34%22%7D&id=665401728005&ns=1&abbucket=3#detail,,漫圈 ManQuan,日本万代眼镜厂
72人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22f501b4702b84d0588652c99a4e19cf43%22%7D&id=783692565223&ns=1&abbucket=3#detail,,南梦动漫手办周边,雪公主长发玩偶女生摆件模型盲盒雕像公仔福袋二次元礼物
8人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822588133607e853b&utparam=%7B%22aplus_abtest%22%3A%22d461d02aea4ea32777722adc0245b883%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=1871705806&k=1537&e=PxBUQpZTCC1ioRVbgDZ2wYl7Wsn7%2F6phQGpLnAnXiJrXuhdAvj%2FuF6kv%2FsS6CZcQ797N9tGaBkNtJaZMOc3l1HCZ5ZPaqvn9U869z09ZIMRAzqMhHLx0wrH8gwg%2Bz%2BQJs0xzugmwYR4Zl%2BhdaGm9TnQ8OzG3XSgUlCoGSwDh%2BzGBSCVrL6Tu5%2F1sPJIOCKS5J5tJYxI%2B8sC75b7nXBs0tdP1zrRZ2WjE1rhxuMy3CCI4Khf97k%2F1D4JImeQrqH9WV61r%2FWFvKgh%2FzI8FhdNmjCloKamjkrBGog66vyrb9k%2BkirnVI8Io6DKdeaGtbz2S9bPbKYVSgI%2BVXG5GCWHAbDFB3JIkP%2Fm3OCeXdq%2FNymKturE6b8%2Bjl1eEDj3Z6AxB1CQdkssXHQ8VayA%2FMnZmTnzB1UQ5aqCwRXJN8J63UVhbYpUHx78RzbB%2B39cE9sUEA4F4Lmo7QcxURF1SkTU5ACsFYimdv5%2FI9c9gQwj78UNebllTrophe8ndF8QhC2%2FBS13cILdSwH7FlUS3xr9CnYPmEoE%2F7GWmXbQkWYsZjitU4%2FHJ00F%2B4yyoJNFGUonlKvA0IsBFH2PTnzih9tqxc%2F5MyfaUbcNJ1TaqwWnitO6M3cu2Q2A1RACzF8ZsSEv4RGLnBzq7FphvU3N3dnbjHLfjUSdZ%2F0Hn5dkREgRSAQqD5hKBP%2BxlpoZ3t042pCmUJTVmRnKb7g7xMnQYGpVL0nzdZQXwfvXLKxSO0WrDqa0EWOWLiJJALwue%2B2YRA5NwX2C56SUlwvY2XcZfMfl%2BSGPo1ylwiTsqPzcvkhl4nU2T0AOB0ZXLEYznfskn%2FQMhT7rvV6f0a4T2sLt%2Fz4DfypM0kxNS%2FTaIPMqp%2Bd4ncO0MOxAt%2FdMgJfAK4qFwtIYhrT7OSj4DqdwlMuzghIspoHcxvycsnK%2F6G%2FrGbXVTx7JzuXisaRnVfPQz5Kqgj3hn8KAMNhUK5aJMVC1QZGNbqRJA2uZ3NjFV5xzKOWuZnQIgNE8nL4LHQKe1OI%2FybOFsW2KVB8e%2FEc2wft%2FXBPbFBAOBeC5qO0HMVERdUpE1OQArBWIpnb%2BfyFL92ALl9AT24u%2Bj04e4SZPfV%2FvSt6mLjR7ORw6dLyx1c0njyRXG3jyTnuB4XrT22Ywb65NNXQsjERjHYE1APM4udY30DCNyn5hQqqoC2V%2FUQJu0VBObIxLhq4PsYg46pZ2DD93%2FDNqb%2FHNK1RNV5Jeir91dpKVQZc5Ws1fx0IUMsMmzQoHtLJLVxCGzMcTwunJuuNjx9slhVXqmkIzW8%2BMNM12H%2BMfXJdHUF%2B6KzEsxK0vhlyUKhfiicYRYE5S0zzAhAwrPkdWWHc%2ByYdU1gJiv6NDjJxNLjY2HagDbMyN2M6hnTyQSykHe%2Fp1sRayNTosGKOIWhNGgijFsGy%2F30VqNyAiS2vFAPjFB3JIkP%2Fm3OJ8JSLWi7085XakVkHLS9zt1VkBET11%2BfMHVRDlqoLBvt8QfHys2oS0mT4wj8F2ykUeipIoZAaWhA9bS33nUe8qiLrCj3Vvc#detail,,漫派动漫手办摆件,初音手办雪公主长发玩偶女生摆件模型盲盒雕像公仔福袋二次元礼物
100+人累计付款,//item.taobao.com/item.htm?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%2226765c262771b8891a72a6a1f4c6e356%22%7D&id=795834213607&ns=1&abbucket=3#detail,,冷龙软陶,爱心未来水手服压泡面动漫二次元美少女模型机箱摆件礼物
2人累计付款,https://click.simba.taobao.com/cc_im?priceTId=214781b117188822575373558e853b&utparam=%7B%22aplus_abtest%22%3A%22de8f6eb90125808e0b889c6fb8e7aa61%22%7D&p=%B3%F5%D2%F4%CA%D6%B0%EC&s=818417174&k=1529&e=w6%2BvZZJ6oJtYdh0g%2BA0S0AfUkFWQzTTlxmN%2B6qE7D%2FJsOVpA5tQoCIAB29N8kDXyqNSYwDWOsk%2FWlcAiFanK%2BrrINRwzLOrtOs0VXbiy26%2BKqEFG5FE0sZcOee9cyfzR3tK22aDxekkkO0mgyCMWu2FB%2FF8VV9tV7SEWTJ44LvtMPDL9N6FX9bv3jkaOLHCaCfpHrTPw8m2%2B7m3m9sgEQSyhTq0M6QwjHjSLALPudx0fmnZf6VjYscGucom89QUNCFMCOjJNFL4A2YO1C4iOjlAap9ajg57s2IQpV6jF%2BmmwAk0H8AfpEoFx6rt%2FzuSP%2B%2B6i%2FuSJIV6VGOn7SU4s4TaZVueFPcS3fjBUVfoPlaPHbWEer3h%2FrI5CflNOtLTBRtpOohGheLZdgGxMGCLOrsDnwIqD2McPCIKZBw9La780Jymrgz1oXlOqdEdBoPXS7a6V8sOL46Ivl2UiKCBZjElCjUaGJKDC9izdlgK5ZRrCT2kl7PhGXbZDi%2F6tWGZIOu6HNftHKDnWrnSNV6O7WyIxLtHM%2FYInmoTL2FPEjZBt%2B%2FBQUNkxTE3D1SzfBHe94BA4bNGbwZU5uZry7Jg4CCQ5awfuysLIiNNlVQ7iWt3XwAbMzfDVrIvl7lhEBmG0s2Vr8mCvXioNaSf428dcSkNlbJz0q17y9MDxSwjB65nTU%2BR3D4Di62pgKca2GhSqhLf6pW3ONoTNylo8MTsrDS1vCrSWao%2B8PpZJwGwRtKQEcr1jrTHv9HC5z4Map0zH24HOdlbnI99K7PO%2FffhQuz8%2BCINP5E0jc%2FxItVRM9iCrsmvlvrn7DEe%2FbBIN%2FxgazNglB3vbl3FyqO9PgvuWOaXWlaxfu3arEmaae8uEEq6rx7W0vKeA2udK8QDtNrqhzzhMtOICVtnYlEQ8OyGf%2FgRJ8ONY3BQ%2F%2F1neqyfMkQm67V9g2det2epH%2BJJYi8ZyBS2Vx8E5x9nroHEs0fAL3EeGdAyL9TqSCX%2FKZlFP24JTxwWAgHfWPuy7lWVTOJVfUHxegvsFT83cg3ozcYyZdJtej5OTCKvID1FGOLpvK5y20XneZPPdp70V6x3902Q2kep2O9yjs83FSZGS9%2F6zFFnUNo72ZfFsb18bqIBVWf6OQn5TTrS0wd%2Fi7gGmBCbif2bYDIoMzVUYGTrcHKAlWqmwAsVPkL%2FYg1D5d6L4%2FIFvY5q4UCrIHBICNtIT%2BXIpi%2FkcQz64FnvNfhF%2FkW55%2FBa9METXraAfru9dGp5e2XQvOsw24d%2BUmB5jCLQz0ckG3i9CmoXJNtHbftuypvUtimRR2PIPbYzaq9JH5XHhgpYdSHau8GVQQVQjd9g1PwMii%2FBz%2BD6HcCT4UHJDLT9svyudDG6l2IIoR3UC11syshpUE2e9DDOdXirzwwalL0MmGgLnR%2BrwAQPNfhF%2FkW55%2FCD9R5RbH8eaSoSkV%2FoJM0JTsjZsrl4y%2B0lCjUaGJKDC%2FmjMC0WsJ40Fm%2FyW43TyW2yV0MBRVr15l%2BEiGm1GlLjZhNepQRZf7A%3D%3D#detail,,淘气小米,动漫初音未来辛德瑞拉灰姑娘童话仙境手办女孩礼物动漫模型摆件
